"Categorical Feature","Level","N (%)"
"Port","25","106 (26.5%)"
"Port","80","68 (17%)"
"Port","443","166 (41.5%)"
"Port","993","52 (13%)"
"Port",NA,"8 (2%)"
"Protocol","TCP","362 (90.5%)"
"Protocol","UDP","38 (9.5%)"
"Target.Honeypot.Server.OS","Linux","1 (0.2%)"
"Target.Honeypot.Server.OS","MacOS (All)","156 (39%)"
"Target.Honeypot.Server.OS","Windows (Desktops)","240 (60%)"
"Target.Honeypot.Server.OS","Windows (Servers)","3 (0.8%)"
"Source.OS.Detected","???","0 (0%)"
"Source.OS.Detected","Linux (>4.0)","48 (12.1%)"
"Source.OS.Detected","Linux (2.6.3)","55 (13.9%)"
"Source.OS.Detected","MacOS (Unknown)","149 (37.6%)"
"Source.OS.Detected","Windows 10","138 (34.8%)"
"Source.OS.Detected","Windows Server 2008","6 (1.5%)"
"Source.IP.Type.Detected","IPv6 (Unknown)","28 (7%)"
"Source.IP.Type.Detected","Standard ISP","289 (72.2%)"
"Source.IP.Type.Detected","Suspected Proxy/VPN","82 (20.5%)"
"Source.IP.Type.Detected","TOR Exit Node","1 (0.2%)"
"APT","No","185 (46.2%)"
"APT","Yes","215 (53.8%)"
